year,head_no,subhead_no,subhead_name,reimbursements,item_no,title,actual,revised,estimate
2009,186,000,Operational expenses,"",,Recurrent,873454,1016500,1128283
2009,186,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",28075,20317,62899
2009,186,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2673,2583,9083
2009,186,700,General non-recurrent,"",,Non-Recurrent,2753,3371,8245
2009,186,927,Hong Kong Society for Rehabilitation - rehabuses (block vote),"",,Subventions,9780,19969,7665
2009,188,000,Operational expenses,"",,Recurrent,294758,309913,332656
2009,188,003,Recoverable salaries and allowances (General),4833,,Recurrent,,,
2009,188,187,Agents’ commission and expenses,"",,Recurrent,3367,3383,3475
2009,188,,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,2500,
2009,188,,General non-recurrent,"",,Non-Recurrent,473,,
2009,190,000,Operational expenses,"",,Recurrent,11583559,11773252,11645763
2009,190,,General non-recurrent,"",,Non-Recurrent,604925,18600175,
2009,194,000,Operational expenses,"",,Recurrent,2651166,2710725,2757838
2009,194,223,Purchase of water,"",,Recurrent,2494800,2579200,2993000
2009,194,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,,100
2009,194,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,2596,4480
2009,194,,General non-recurrent,"",,Non-Recurrent,169,274,
2010,21,000,Operational expenses,"",,Recurrent,80747,84507,82591
2010,22,000,Operational expenses,"",,Recurrent,817792,833938,899447
2010,22,600,Works,"",,"Plant, Equipment and Works",3030,2663,1342
2010,22,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,525,8462
2010,22,609,Minor irrigation works in the New Territories (block vote),"",,"Plant, Equipment and Works",993,1347,1440
2010,22,610,Minor recreational facilities and roadworks in country parks (block vote),"",,"Plant, Equipment and Works",8690,10993,11267
2010,22,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",7866,7412,5657
2010,22,700,General non-recurrent,"",,Non-Recurrent,242535,19416,15489
2010,23,000,Operational expenses,"",,Recurrent,63888,66750,61572
2010,23,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,2288,3432
2010,24,000,Operational expenses,"",,Recurrent,120442,118991,121638
2010,25,000,Operational expenses,"",,Recurrent,1454642,1515710,1535891
2010,25,003,Recoverable salaries and allowances (General),1053,,Recurrent,,,
2010,26,000,Operational expenses,"",,Recurrent,470086,501834,598995
2010,26,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,150,170
2010,26,,General non-recurrent,"",,Non-Recurrent,625,945,
2010,27,000,Operational expenses,"",,Recurrent,81356,81519,78070
2010,27,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",800,470,198
2010,28,000,Operational expenses,"",,Recurrent,659460,673841,717903
2010,28,170,Airport insurance,"",,Recurrent,8855,7832,8237
2010,28,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,,258
2010,30,000,Operational expenses,"",,Recurrent,2495276,2572015,2699703
2010,30,118,Provisions for institutions,"",,Recurrent,75925,78969,79593
2010,30,193,Prisoners’ earnings scheme,"",,Recurrent,30090,34312,34046
2010,30,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",3564,3076,12873
2010,30,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",21433,22416,19012
2010,30,700,General non-recurrent,"",,Non-Recurrent,1212,545,255
2010,31,000,Operational expenses,"",,Recurrent,2209860,2275440,2415915
2010,31,103,Rewards and special services,"",,Recurrent,7895,9000,9000
2010,31,292,Seizure management,"",,Recurrent,41388,41500,42000
2010,31,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",21681,94143,8599
2010,31,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",7670,15993,33870
2010,33,000,Operational expenses,"",,Recurrent,1442138,1930584,2118767
2010,33,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3897,1190,3960
2010,33,700,General non-recurrent,"",,Non-Recurrent,72,40,9860
2010,37,000,Operational expenses,"",,Recurrent,3301308,3827283,4185565
2010,37,003,Recoverable salaries and allowances (General),1053000,,Recurrent,,,
2010,37,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",2732,5000,24570
2010,37,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",19274,15701,60823
2010,37,700,General non-recurrent,"",,Non-Recurrent,27031,700689,280472
2010,37,974,"Subvented institutions - maintenance, repairs, and minor improvements (block vote)","",,Subventions,58,3132,4976
2010,37,975,"Subvented institutions - minor plant, vehicles and equipment (block vote)","",,Subventions,764,1498,3684
2010,39,000,Operational expenses,"",,Recurrent,1656751,1729614,1755639
2010,39,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",5940,5892,23122
2010,39,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",17080,23462,23603
2010,39,700,General non-recurrent,"",,Non-Recurrent,376,9475,6025
2010,42,000,Operational expenses,"",,Recurrent,254016,259609,269657
2010,42,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",70818,171154,130319
2010,42,851,Energy-saving projects for subvented bodies (block vote),"",,Subventions,,29196,881
2010,42,,General non-recurrent,"",,Non-Recurrent,2559,1669,
2010,44,000,Operational expenses,"",,Recurrent,1025957,1048500,1094150
2010,44,297,Fees for operation of waste facilities,"",,Recurrent,1166141,1028500,984100
2010,44,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2799,7850,5900
2010,44,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",1152,,
2010,44,700,General non-recurrent,"",,Non-Recurrent,345691,188154,164303
2010,45,000,Operational expenses,"",,Recurrent,3402740,3567771,3711658
2010,45,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",63325,169321,188261
2010,45,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",52445,162852,22625
2010,45,690,Town ambulances (block vote),"",,"Plant, Equipment and Works",,,170061
2010,45,700,General non-recurrent,"",,Non-Recurrent,36,,250
2010,46,001,Salaries,"",,Recurrent,65023,60703,60387
2010,46,003,Recoverable salaries and allowances (General),691,,Recurrent,,,
2010,46,006,Recoverable salaries and allowances (Companies Registry Trading Fund),113000,,Recurrent,,,
2010,46,008,Recoverable salaries and allowances (Hong Kong Monetary Authority),21667,,Recurrent,,,
2010,46,009,Recoverable salaries and allowances (Land Registry Trading Fund),175507,,Recurrent,,,
2010,46,010,Recruiting expenses,"",,,742,900,900
2010,46,011,Civil service examinations,"",,,7576,11671,8717
2010,46,013,Personal allowances,"",,,781688,716122,767630
2010,46,014,Home purchase allowance,"",,,751254,745838,785000
2010,46,020,Payments to estates of deceased officers,"",,,15510,16000,16300
2010,46,022,Passages,"",,,154049,137689,148538
2010,46,023,Quartering,"",,,11913,13907,18410
2010,46,024,Staff relief and welfare,"",,,2982,4029,7274
2010,46,025,Long and Meritorious Service Travel Award Scheme,"",,,63257,67841,69600
2010,46,028,Legal assistance,"",,,229,2298,4200
2010,46,032,Accommodation allowance,"",,,18256,18521,19800
2010,46,033,Home financing allowance,"",,,806474,585242,504000
2010,46,037,Pensioners’ welfare fund,"",,,910,910,910
2010,46,038,Private tenancy allowance,"",,,162115,171772,182000
2010,46,039,Rent allowance,"",,,139,180,500
2010,46,040,Non-accountable cash allowance,"",,,70701,114359,198000
2010,46,041,Mandatory Provident Fund contribution,"",,,156,120,132
2010,46,042,Civil Service Provident Fund contribution,"",,,297,294,449
2010,46,081,Recoverable salaries and allowances (Office of the Telecommunications Authority Trading Fund),118760,,Recurrent,,,
2010,46,082,Recoverable salaries and allowances (Post Office Trading Fund),1501000,,Recurrent,,,
2010,46,083,Recoverable salaries and allowances (Electrical and Mechanical Services Trading Fund),1202748,,Recurrent,,,
2010,46,084,Recoverable salaries and allowances (Legal Aid Services Council),2065,,Recurrent,,,
2010,46,086,Recoverable salaries and allowances (Independent Police Complaints Council),3964,,Recurrent,,,
2010,47,000,Operational expenses#,"",,Recurrent,559650,648806,580499
2010,47,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",186,,
2010,48,000,Operational expenses,"",,Recurrent,267054,277279,295571
2010,48,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",32895,26683,43190
2010,48,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",25550,8542,16244
2010,49,000,Operational expenses,"",,Recurrent,4090208,4247626,4400501
2010,49,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",6250,8129,2100
2010,49,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",110479,46943,98530
2010,49,700,General non-recurrent,"",,Non-Recurrent,410104,37149,42300
2010,51,000,Operational expenses,"",,Recurrent,1647123,1684129,1751059
2010,51,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",25655,13872,18953
2010,53,000,Operational expenses,"",,Recurrent,1165848,1237303,1296381
2010,53,003,Recoverable salaries and allowances (General),3607,,Recurrent,,,
2010,53,700,General non-recurrent,"",,Non-Recurrent,6279044,3006307,4890
2010,53,942,Hong Kong Academy for Performing Arts,"",,Subventions,1099,12113,25779
2010,53,973,"Hong Kong Academy for Performing Arts - minor plant, vehicles and equipment (block vote)","",,Subventions,13798,16546,16645
2010,53,,"Sports Federation and Olympic Committee of Hong Kong, China","",,Subventions,,,4570
2010,55,000,Operational expenses#,"",,Recurrent,64883,102203,119035
2010,55,700,General non-recurrent,"",,Non-Recurrent,8000,109549,172386
2010,59,000,Operational expenses,"",,Recurrent,338141,356092,365721
2010,59,003,Recoverable salaries and allowances (General),10784,,Recurrent,,,
2010,59,224,Motor Insurers’ Bureau - government contribution,"",,Recurrent,67,78,78
2010,59,225,Traffic Accident Victims Assistance Scheme - levies,"",,Recurrent,766,761,766
2010,59,226,Allocated stores: local landing charges,"",,Recurrent,6,10,10
2010,59,267,Unallocated stores: suspense account adjustment,"",,Recurrent,,1,1
2010,59,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",257,330,3230
2010,59,691,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,5500,
2010,59,691,General purpose vehicles (block vote),"",,"Plant, Equipment and Works",101000,116000,122000
2010,60,000,Operational expenses,"",,Recurrent,1956590,2001114,2003167
2010,60,272,Electricity for public lighting,"",,Recurrent,181466,184538,191188
2010,60,,General non-recurrent,"",,Non-Recurrent,1732,90,
2010,60,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1418,1855,
2010,62,000,Operational expenses,"",,Recurrent,125553,127801,128712
2010,62,003,Recoverable salaries and allowances (General),3134757,,Recurrent,,,
2010,62,,General non-recurrent,"",,Non-Recurrent,2513095,1800000,
2010,63,000,Operational expenses,"",,Recurrent,1446382,1530883,1575726
2010,63,003,Recoverable salaries and allowances (General),462,,Recurrent,,,
2010,63,654,Local public works (block vote),"",,"Plant, Equipment and Works",34226,36480,36150
2010,63,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",9952,5199,2108
2010,63,700,General non-recurrent,"",,Non-Recurrent,20476,43124,25701
2010,70,000,Operational expenses,"",,Recurrent,2808605,2837920,3023315
2010,70,202,Repatriation expenses,"",,Recurrent,7513,6549,7512
2010,70,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",5228,4945,8574
2010,72,000,Operational expenses,"",,Recurrent,733436,769011,795604
2010,72,103,Rewards and special services,"",,Recurrent,16274,17000,17000
2010,72,203,"Expenses of witnesses, suspects and detainees","",,Recurrent,361,630,630
2010,72,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,897,940
2010,74,000,Operational expenses,"",,Recurrent,350506,360643,373769
2010,74,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2547,,
2010,76,000,Operational expenses,"",,Recurrent,1118658,1124982,1165990
2010,76,189,Interest on tax reserve certificates,"",,Recurrent,57215,40000,102000
2010,76,209,Special legal expenses,"",,Recurrent,5395,5900,5903
2010,76,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1534,,
2010,78,000,Operational expenses,"",,Recurrent,91199,95652,96086
2010,79,000,Operational expenses,"",,Recurrent,66468,68839,79939
2010,79,700,General non-recurrent,"",,Non-Recurrent,41555,42500,25837
2010,80,000,Operational expenses,"",,Recurrent,938123,974064,1079396
2010,80,206,Expenses of witnesses and jurors,"",,Recurrent,5740,7700,8500
2010,80,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",371,330,370
2010,80,613,Law library acquisitions (block vote),"",,"Plant, Equipment and Works",19836,22350,23740
2010,80,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2847,3719,2794
2010,80,700,General non-recurrent,"",,Non-Recurrent,2630,720,839
2010,82,000,Operational expenses,"",,Recurrent,797661,844319,829508
2010,82,227,Payment for Land Registry/Companies Registry Trading Fund services,"",,Recurrent,40100,36280,37000
2010,82,700,General non-recurrent,"",,Non-Recurrent,380,595,1326
2010,90,000,Operational expenses,"",,Recurrent,910008,927800,924976
2010,90,280,Contribution to the Occupational Safety and Health Council,"",,Recurrent,2961,3316,3406
2010,90,295,Contribution to the Occupational Deafness Compensation Board,"",,Recurrent,2665,2985,3065
2010,90,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,,2630
2010,90,700,General non-recurrent,"",,Non-Recurrent,154425,226644,232190
2010,91,000,Operational expenses,"",,Recurrent,1687952,1723300,1783750
2010,91,003,Recoverable salaries and allowances (General),30328,,Recurrent,,,
2010,91,221,Clearance of government land - ex-gratia allowances,"",,Recurrent,1019,928,7295
2010,91,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2155,1684,2310
2010,91,,General non-recurrent,"",,Non-Recurrent,697,1134,
2010,92,000,Operational expenses,"",,Recurrent,838514,867418,919676
2010,92,003,Recoverable salaries and allowances (General),2000,,Recurrent,,,
2010,92,234,Court costs,"",,Recurrent,97882,106400,88796
2010,92,700,General non-recurrent,"",,Non-Recurrent,648,320,1410
2010,94,000,Operational expenses,"",,Recurrent,231052,231944,233874
2010,94,208,Legal aid costs,"",,Recurrent,430111,489248,519097
2010,95,000,Operational expenses,"",,Recurrent,4963263,5201708,5292321
2010,95,600,Works,"",,"Plant, Equipment and Works",1791,8702,26288
2010,95,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",23787,49309,23559
2010,95,653,Restoration of historic buildings (block vote),"",,"Plant, Equipment and Works",3123,4500,10100
2010,95,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",61192,70000,71568
2010,95,694,Archaeological excavations (block vote),"",,"Plant, Equipment and Works",547,900,800
2010,95,700,General non-recurrent,"",,Non-Recurrent,41124,70674,27011
2010,95,863,Non-government organisation camps (block vote),"",,Subventions,2625,2500,3018
2010,96,000,Operational expenses,"",,Recurrent,277184,284025,293597
2010,96,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1014,445,800
2010,96,700,General non-recurrent,"",,Non-Recurrent,,150,9350
2010,100,000,Operational expenses,"",,Recurrent,889844,903582,919630
2010,100,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,980,9570
2010,100,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",24296,30400,32352
2010,100,700,General non-recurrent,"",,Non-Recurrent,1314,4674,2720
2010,106,251,Additional commitments,"",,Recurrent,,,543000
2010,106,284,Compensation,"",,Recurrent,26490,57000,70000
2010,106,689,Additional commitments,"",,"Plant, Equipment and Works",,1650,200000
2010,106,789,Additional commitments,"",,Non-Recurrent,,18000,16746000
2010,106,821,Contribution to the eighth replenishment of the Asian Development Fund,"",,Non-Recurrent,20090,22937,23235
2010,106,822,Contribution to the ninth replenishment of the Asian Development Fund,"",,Non-Recurrent,,14014,18552
2010,112,000,Operational expenses,"",,Recurrent,250083,263986,273311
2010,112,366,Remuneration and reimbursements for Members of the Legislative Council,"",,Recurrent,137626,137755,137755
2010,112,700,General non-recurrent,"",,Non-Recurrent,63,20,100
2010,112,872,Non-recurrent expenses reimbursements for Members of the Legislative Council,"",,Subventions,6346,2200,2200
2010,112,885,Legislative Council Commission,"",,Subventions,5151,173,1001
2010,114,000,Operational expenses,"",,Recurrent,89037,89979,88457
2010,114,700,General non-recurrent,"",,Non-Recurrent,,11,30
2010,116,000,Operational expenses,"",,Recurrent,114253,121383,138424
2010,116,700,General non-recurrent,"",,Non-Recurrent,416,600,153
2010,118,000,Operational expenses,"",,Recurrent,446543,458002,457126
2010,118,700,General non-recurrent,"",,Non-Recurrent,13336,18006,18445
2010,120,015,Public and judicial service pension benefits and compensation,"",,Recurrent,14987138,16157318,17771944
2010,120,016,Contract gratuities,"",,Recurrent,297534,309949,324910
2010,120,017,Surviving spouses’ and children’s pensions and widows’ and orphans’ pensions,"",,Recurrent,348585,374886,397777
2010,120,018,"Volunteer and defence force pensions, allowances and grants","",,Recurrent,34148,31877,31877
2010,120,021,"Ex-gratia pensions, awards and allowances","",,Recurrent,131,182,182
2010,120,026,"Employees’ compensation, injury, incapacity and death related payments and expenses","",,Recurrent,32341,45804,60757
2010,121,000,Operational expenses,"",,Recurrent,17361,25400,26827
2010,121,852,"Independent Police Complaints Council - minor plant, vehicles and equipment (block vote)","",,Subventions,,1883,350
2010,122,000,Operational expenses,"",,Recurrent,11998447,12434003,12705038
2010,122,103,Rewards and special services,"",,Recurrent,65411,74500,80000
2010,122,207,"Expenses of witnesses, prisoners and deportees","",,Recurrent,3882,5100,5500
2010,122,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",119669,28558,102647
2010,122,614,"Alterations, additions and improvements to in-service Marine Police craft (block vote)","",,"Plant, Equipment and Works",1178,1200,1200
2010,122,624,Repairs and improvements to land boundary fences,"",,"Plant, Equipment and Works",,,100
2010,122,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",50807,77506,67300
2010,122,695,Police specialised vehicles (block vote),"",,"Plant, Equipment and Works",,,80599
2010,136,000,Operational expenses,"",,Recurrent,18138,17016,16474
2010,137,000,Operational expenses,"",,Recurrent,48327,57113,60604
2010,137,700,General non-recurrent,"",,Non-Recurrent,4105,6100,10037
2010,138,000,Operational expenses,"",,Recurrent,96475,111764,129116
2010,138,700,General non-recurrent,"",,Non-Recurrent,200000,554000,1050000
2010,139,000,Operational expenses,"",,Recurrent,43568,70405,70810
2010,140,000,Operational expenses,"",,Recurrent,31236276,32302700,33638154
2010,140,700,General non-recurrent,"",,Non-Recurrent,1035388,45793,72293
2010,140,882,Hospital Authority - information technology system for health care vouchers,"",,Subventions,10800,6800,6400
2010,140,899,"Prince Philip Dental Hospital - minor plant, vehicles, equipment, maintenance, and improvement (block vote)","",,Subventions,6609,7863,6464
2010,140,979,Prince Philip Dental Hospital - replacement of 37 dental units in the Discipline of Paediatric Dentistry and Orthodontics,"",,Subventions,1793,5625,
2010,140,979,Hospital Authority - equipment and information systems (block vote),"",,Subventions,691000,693500,851000
2010,140,979,Hospital Authority - information technology system for Chinese medicine outpatient clinics,"",,Subventions,2914,200,
2010,140,979,Prince Philip Dental Hospital - information technology system,"",,Subventions,2711,857,
2010,140,979,Prince Philip Dental Hospital - replacement of lift controllers and driving machines,"",,Subventions,2859,,
2010,140,,"Prince Philip Dental Hospital - installation of a Central Sterile Supplies Unit with associated electrical, mechanical and building works","",,Subventions,,,9860
2010,141,000,Operational expenses,"",,Recurrent,415021,428700,485524
2010,141,003,Recoverable salaries and allowances (General),556,,Recurrent,,,
2010,141,700,General non-recurrent,"",,Non-Recurrent,48750,57788,46198
2010,141,864,Skills centres (block vote),"",,Subventions,4879,6180,6217
2010,142,000,Operational expenses,"",,Recurrent,450874,485804,522050
2010,142,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3148,1471,696
2010,142,700,General non-recurrent,"",,Non-Recurrent,81,2120,1989
2010,143,000,Operational expenses,"",,Recurrent,413821,415004,409998
2010,143,700,General non-recurrent,"",,Non-Recurrent,87,300,247
2010,144,000,Operational expenses,"",,Recurrent,335507,380430,406896
2010,144,003,Recoverable salaries and allowances (General),4008,,Recurrent,,,
2010,144,700,General non-recurrent,"",,Non-Recurrent,2157,36949,162790
2010,144,,Office of the Privacy Commissioner for Personal Data,"",,Subventions,,385,
2010,147,000,Operational expenses,"",,Recurrent,135950,141642,152169
2010,147,281,Air passenger departure tax administration fees,"",,Recurrent,39236,38410,40115
2010,147,700,General non-recurrent,"",,Non-Recurrent,3247409,4352000,493470
2010,148,000,Operational expenses,"",,Recurrent,132075,137081,160488
2010,148,003,Recoverable salaries and allowances (General),4780,,Recurrent,,,
2010,148,700,General non-recurrent,"",,Non-Recurrent,8594792,3133,300
2010,151,000,Operational expenses,"",,Recurrent,152020,161305,245479
2010,151,,General non-recurrent,"",,Non-Recurrent,2559,6870,
2010,152,000,Operational expenses,"",,Recurrent,1153691,1193531,1198000
2010,152,700,General non-recurrent,"",,Non-Recurrent,17617,36501,60621
2010,152,955,Consumer Council (block vote),"",,Subventions,150,,
2010,152,955,Consumer Council,"",,Subventions,1049,2122,1183
2010,155,000,Operational expenses#,"",,Recurrent,433652,436167,433968
2010,155,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2602,2385,3400
2010,155,700,General non-recurrent#,"",,Non-Recurrent,66279,29383,14658
2010,155,,Hong Kong Productivity Council,"",,Subventions,,,14100
2010,156,000,Operational expenses,"",,Recurrent,35441673,36720600,37699895
2010,156,003,Recoverable salaries and allowances (General),18268,,Recurrent,,,
2010,156,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",8773,2936,1577
2010,156,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2300,2474,4063
2010,156,700,General non-recurrent,"",,Non-Recurrent,628003,555316,649421
2010,156,871,Vocational Training Council,"",,Subventions,7800,6240,2620
2010,156,873,Codes of Aid for existing schools,"",,Subventions,10277,840,500
2010,156,898,Codes of Aid for existing schools - furniture and equipment (block vote),"",,Subventions,596,1531,2364
2010,156,900,"Codes of Aid for existing schools - maintenance, repairs and minor improvement (block vote)","",,Subventions,452123,552936,731509
2010,156,950,Hong Kong Examinations and Assessment Authority,"",,Subventions,20892,41682,95373
2010,156,976,Open University of Hong Kong,"",,Subventions,10000,8000,
2010,156,976,Vocational Training Council (block vote),"",,Subventions,26649,32538,32733
2010,158,000,Operational expenses,"",,Recurrent,115908,121935,129970
2010,158,700,General non-recurrent,"",,Non-Recurrent,925,5065,4388
2010,159,000,Operational expenses,"",,Recurrent,197445,225593,257612
2010,159,003,Recoverable salaries and allowances (General),3963,,Recurrent,,,
2010,159,700,General non-recurrent,"",,Non-Recurrent,2109,4765,1590
2010,160,000,Operational expenses,"",,Recurrent,438590,456030,454773
2010,160,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",17454,17700,35804
2010,160,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",14714,10644,6650
2010,162,000,Operational expenses,"",,Recurrent,380953,389593,402403
2010,162,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,2163,1200
2010,162,,General non-recurrent,"",,Non-Recurrent,231,92,
2010,163,000,Operational expenses,"",,Recurrent,323385,74756,247231
2010,166,000,Operational expenses,"",,Recurrent,159455,163050,185324
2010,166,200,Insurance of aircraft,"",,Recurrent,1069,1110,1110
2010,166,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,3620,290000
2010,166,631,"Aircraft components, component overhaul and safety equipment (block vote)","",,"Plant, Equipment and Works",71987,83141,77096
2010,166,631,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,986,
2010,168,000,Operational expenses,"",,Recurrent,205125,215239,215351
2010,168,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1190,1148,589
2010,168,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,3712,
2010,169,000,Operational expenses,"",,Recurrent,10129,11796,13932
2010,170,000,Operational expenses,"",,Recurrent,10983817,11390823,12032097
2010,170,003,Recoverable salaries and allowances (General),2182,,Recurrent,,,
2010,170,157,Assistance for patients and their families,"",,Recurrent,90,141,141
2010,170,176,Criminal and law enforcement injuries compensation,"",,Recurrent,5345,6540,6540
2010,170,177,Emergency relief,"",,Recurrent,574,1000,1000
2010,170,179,Comprehensive social security assistance scheme,"",,Recurrent,18613395,19175000,18586000
2010,170,180,Social security allowance scheme,"",,Recurrent,8795477,8966000,8876000
2010,170,184,Traffic accident victims assistance scheme,"",,Recurrent,50871,73506,29949
2010,170,187,Agents’ commission and expenses,"",,Recurrent,3273,3943,7066
2010,170,700,General non-recurrent,"",,Non-Recurrent,80515,187635,106929
2010,173,000,Operational expenses,"",,Recurrent,192266,217889,273425
2010,173,228,Student financial assistance,"",,Recurrent,2444212,2749949,2771177
2010,173,700,General non-recurrent,"",,Non-Recurrent,914509,1042066,514695
2010,174,000,Operational expenses,"",,Recurrent,27265,23358,19975
2010,180,000,Operational expenses#,"",,Recurrent,99651,103132,78831
2010,180,700,General non-recurrent#,"",,Non-Recurrent,32796,4394,123
2010,181,000,Operational expenses,"",,Recurrent,265180,269141,274206
2010,181,700,General non-recurrent,"",,Non-Recurrent,276687,463523,719602
2010,184,984,Payment to the Capital Works Reserve Fund,"",,Capital Account,,,30000000
2010,184,990,Payment to the Loan Fund,"",,Capital Account,,,
2010,184,990,Payment to the Disaster Relief Fund,"",,Capital Account,350000,59200,47000
2010,186,000,Operational expenses,"",,Recurrent,1043731,1057100,1132205
2010,186,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",19999,24578,115571
2010,186,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2488,4180,5930
2010,186,700,General non-recurrent,"",,Non-Recurrent,3101,5800,7329
2010,186,927,Hong Kong Society for Rehabilitation - rehabuses (block vote),"",,Subventions,19959,7393,8161
2010,188,000,Operational expenses,"",,Recurrent,306366,319594,332714
2010,188,003,Recoverable salaries and allowances (General),4543,,Recurrent,,,
2010,188,187,Agents’ commission and expenses,"",,Recurrent,2994,3071,4570
2010,188,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,700,1856
2010,188,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",2500,,
2010,190,000,Operational expenses,"",,Recurrent,11764100,11553306,10982174
2010,190,,General non-recurrent,"",,Non-Recurrent,18600175,,
2010,194,000,Operational expenses,"",,Recurrent,2720260,2752168,2747267
2010,194,223,Purchase of water,"",,Recurrent,2579200,2993000,3182000
2010,194,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,82,2200
2010,194,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",2568,4480,3100
2010,194,700,General non-recurrent,"",,Non-Recurrent,258,,9700
2011,21,000,Operational expenses,"",,Recurrent,83940,82591,85217
2011,22,000,Operational expenses,"",,Recurrent,836003,886943,928922
2011,22,600,Works,"",,"Plant, Equipment and Works",1572,1342,1177
2011,22,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,20,7600
2011,22,609,Minor irrigation works in the New Territories (block vote),"",,"Plant, Equipment and Works",1055,1440,1163
2011,22,610,Minor recreational facilities and roadworks in country parks (block vote),"",,"Plant, Equipment and Works",10880,11267,10880
2011,22,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",7345,7312,9024
2011,22,700,General non-recurrent,"",,Non-Recurrent,7243,5391,5429
