head_no,programme_no,year_start,year_end,programme_aim
95,3,2013,2013,"The aims are to preserve heritage and to provide quality museum services on heritage, arts, science and history, which include: •   promoting Hong Kong’s culture, arts and heritage and enriching the cultural life of the general public; •   providing a balanced mix of programmes at the museums for enhancing public appreciation of arts and culture and knowledge of local history and heritage; and •   fulfilling the essential functions of museums in the collection, preservation, documentation, research and exhibition of works of art, film and historical objects."
95,3,2014,2014,"The aims are to preserve heritage and to provide quality museum services on heritage, arts, science and history, which include: •    promoting Hong Kong’s culture, arts and heritage and enriching the cultural life of the general public; •    providing a balanced mix of programmes at the museums for enhancing public appreciation of arts and culture and knowledge of local history and heritage; and •    fulfilling the essential functions of museums in the collection, preservation, documentation, research and exhibition of works of art, film and historical objects."
95,4,2006,2006,The aim is to promote arts and culture through the provision of cultural facilities and services and the presentation of programmes.
95,4,2007,2009,"The aim is to promote performing and cinematic arts through the provision of cultural facilities and the presentation of programmes, which include: • maintaining a high standard of service in civic centres to meet the needs of the arts community and the public; • presenting cultural and entertainment programmes for the development of the performing and cinematic arts; and • organising audience building activities at schools and in the community to promote appreciation of the performing arts."
95,4,2010,2012,"The aim is to promote performing and cinematic arts through the provision of facilities and the presentation of programmes, which include: • maintaining a high standard of service in civic centres to meet the needs of the arts community and the public; • presenting cultural and entertainment programmes for the development of the performing and cinematic arts; and • organising audience building activities at schools and in the community to promote appreciation of the performing arts."
95,4,2013,2013,"The aim is to promote performing and cinematic arts through the provision of facilities and the presentation of programmes, which include: •    maintaining a high standard of service in civic centres to meet the needs of the arts community and the public; •    presenting cultural and entertainment programmes for the development of the performing and cinematic arts; and •    organising audience building activities at schools and in the community to promote appreciation of the performing arts."
95,4,2014,2014,"The aim is to promote performing and film arts through the provision of facilities and the presentation of programmes, which include: •   maintaining a high standard of service in civic centres to meet the needs of the arts community and the public, •   presenting cultural and entertainment programmes for the development of the performing and film arts, and •   organising audience building activities at schools and in the community to promote appreciation of the performing arts."
95,5,2006,2006,"The aim is to provide, manage and develop library services to meet community needs for education, information, research and recreation, to offer library extension activities to all ages, and to promote reading and literary arts."
95,5,2007,2007,"The aim is to provide, manage and develop library services to meet community needs for education, information, research and recreation, to offer library extension activities to all ages, and to promote reading and literary arts, which include: • enhancing the information and life-long learning roles of the libraries; • enhancing the use of information technology in the libraries; • strengthening the library collection to provide a balanced mix of library materials for free use by the public; • developing and maintaining close links with local and overseas libraries, cultural organisations and professional library bodies to promote inter-library co-operation and information exchange; and • promoting reading and fostering the development and appreciation of literature."
95,5,2008,2009,"The aims are to provide, manage and develop library services to meet community needs for knowledge, life-long learning, information, research and recreation, to offer library extension activities to all ages, and to promote reading and literary arts, which include: • enhancing the information and life-long learning roles of the libraries; • enhancing the use of information technology in the libraries; • strengthening the library collection to provide a balanced mix of library materials for free use by the public; • developing and maintaining close links with local and overseas libraries, cultural organisations and professional library bodies to promote inter-library co-operation and information exchange; and • promoting reading and fostering the development and appreciation of literature."
95,5,2010,2012,"The aims are to provide, manage and develop library services to meet community needs for knowledge, life-long learning, information, research and recreation, to offer library extension activities to all ages, and to promote reading and literary arts, which include: • enhancing the information and life-long learning roles of the libraries; • providing more efficient and effective library services through active use of information technologies; • strengthening the library collection to provide a balanced mix of library materials for free use by the public; • developing and maintaining close links with local and overseas libraries, cultural organisations and professional library bodies to promote inter-library co-operation and information exchange; and • promoting reading and fostering the development and appreciation of literature."
95,5,2013,2013,"The aims are to provide, manage and develop library services to meet community needs for knowledge, life-long learning, information, research and recreation, to offer library extension activities to all ages, and to promote reading and literary arts, which include: •    enhancing the information and life-long learning roles of the libraries; •    providing more efficient and effective library services through active use of information technologies; •    strengthening the library collection to provide a balanced mix of library materials for free use by the public; •    developing and maintaining close links with local and overseas libraries, cultural organisations and professional library bodies to promote inter-library co-operation and information exchange; and •    promoting reading and fostering the development and appreciation of literature."
95,5,2014,2014,"The aims are to provide, manage and develop library services to meet community needs for knowledge, life-long learning, information, research and recreation, to offer library extension activities to all ages, and to promote reading and literary arts, which include: •       enhancing the information and life-long learning roles of the libraries; •       providing more efficient and effective library services through active use of information technologies; •       strengthening the library collection to provide a balanced mix of library materials for free use by the public; •       developing and maintaining close links with local and overseas libraries, cultural organisations and professional library bodies to promote inter-library co-operation and information exchange; and •       promoting reading and fostering the development and appreciation of literature."
96,1,2006,2014,The aim is to represent and promote Hong Kong’s trading and commercial interests outside Hong Kong.
96,2,2006,2014,The aim is to promote Hong Kong as a reliable trading partner and a premier location for doing business.
96,3,2006,2008,"The aim is to encourage and attract investments to Hong Kong, and to promote Hong Kong’s many advantages as an investment and business hub in Asia. The objective is to ensure that companies have all the support they need to establish operations in Hong Kong."
96,3,2009,2009,"The aim is to encourage and attract direct investment to Hong Kong, and to promote Hong Kong’s many advantages as a business location and regional hub for Asia. The objective is to ensure that companies have all the support they need to establish and expand operations in Hong Kong."
96,3,2010,2014,The aim is to attract foreign direct investment to Hong Kong and to promote Hong Kong’s many advantages as a regional hub and the preferred business location in Asia.
100,1,2006,2014,"The aim is to enhance the contribution of the port and shipping related activities to Hong Kong’s economy by furthering the interests of Hong Kong’s merchant shipping and ensuring the provision of the necessary physical, regulatory and policy bases."
100,2,2006,2014,"The aim is to enable ocean-going vessels (OGVs) using the port to conduct their business quickly, safely and economically."
100,3,2006,2014,The aim is to ensure the safe and efficient use of Hong Kong waters by locally licensed and river trade vessels.
100,4,2006,2014,"The aim is to ensure that Hong Kong-registered ships and locally licensed vessels comply with relevant international and local regulations and are designed, constructed, maintained and manned by competent crews for safe operation and protection of the marine environment."
100,5,2006,2014,The aim is to provide cost-effective marine transport services to government departments.
112,1,2006,2011,The aim is to meet the remuneration and reimbursements for Members of the Legislative Council.
112,1,2012,2012,The aim is to meet Legislative Council Members’ remuneration and operating expenses.
112,1,2013,2013,The aim is to meet Legislative Council (the Council) Members’ remuneration and operating expenses.
112,1,2014,2014,The aim is to meet Legislative Council (LegCo) Members’ remuneration and operating expenses.
112,2,2006,2008,"The aim is to provide secretariat support for the Legislative Council, The Legislative Council Commission and their committees; and to enhance public understanding of the work of the Legislative Council."
112,2,2009,2011,"The aim is to provide support services for the Legislative Council and its committees, to assist The Legislative Council Commission in its work, and to enhance public understanding of the work of the Legislative Council."
112,2,2012,2012,"The aim is to provide support services for the Council and its committees, to assist The Legislative Council Commission (the Commission) in its work, to manage the conference and office facilities to support the work of the Council, and to facilitate media coverage of the proceedings of the Council."
112,2,2013,2013,"The aim is to provide support services for the Council and its committees, to assist The Legislative Council Commission (the Commission) in its work, to manage the conference and office facilities for supporting the work of the Council, and to facilitate media coverage of the proceedings of the Council."
112,2,2014,2014,"The aim is to provide support services for the Council and its committees, to assist The Legislative Council Commission (the Commission) in its work, to manage the conference and office facilities for supporting the work of the Council, and to facilitate media coverage of the proceedings of the Council and its committees."
112,3,2006,2011,"The aim is to provide an efficient and effective legal service for the Legislative Council, The Legislative Council Commission and the Legislative Council Secretariat."
112,3,2012,2014,"The aim is to provide an efficient and effective legal service for the Council, the Commission and the Secretariat."
112,4,2006,2007,The aim is to ensure that complaints and representations lodged under the redress system are dealt with thoroughly and efficiently.
112,4,2008,2014,The aim is to ensure that complaints and representations received are dealt with thoroughly and efficiently.
112,5,2006,2011,The aim is to provide independent research and library support for the Council and its committees.
112,5,2012,2014,"The aim is to provide Members, Members’ staff and staff of the Secretariat, as well as members of the public, direct access to resources which will facilitate their understanding of the role, functions, work, people and history of the Hong Kong Legislature, and the development of the constitutional systems in the People’s Republic of China and other jurisdictions; and to organise an archives and records management programme for the Council and to preserve valuable records of and for the Council as well as making them available for access by internal users and members of the public."
112,6,2012,2013,"The aim is to enhance public understanding of the work of the Council and promote the Council’s image to the public through the provision of visitor services to the Complex, educational programmes and learning and teaching resources, and to establish good relationship between the Council and overseas parliamentary bodies and local organisations."
112,6,2014,2014,"The aim is to enhance public understanding of the work of the Council and promote the Council’s image to the public through the provision of visitor services to the LegCo Complex, educational programmes and learning and teaching resources, and to establish good relationship between the Council and overseas parliamentary bodies and local organisations."
114,1,2006,2010,"The aim is to redress grievances and address issues arising from maladministration in the public sector and to bring about improvements in the quality and standard of and promote fairness in the public administration, through independent and impartial investigations."
114,1,2011,2011,"The aim is to redress grievances and address issues arising from maladministration in the public sector and to bring about improvements in the quality and standard of and promote fairness in public administration, through independent and impartial investigations."
114,1,2012,2014,"The aim is to redress grievances and address issues arising from maladministration in the public sector and to bring about improvement in the quality and standard of and promote fairness in the public administration, through independent and impartial investigation."
116,1,2006,2010,The aim is to administer the Companies Ordinance relating to the compulsory winding-up of companies and the Bankruptcy Ordinance relating to the estates of bankrupts.
116,1,2011,2014,The aim is to administer the Companies Ordinance (Cap. 32) relating to the compulsory winding-up of companies and the Bankruptcy Ordinance (Cap. 6) relating to the estates of bankrupts.
118,1,2006,2006,"The aim is to provide guidance and direction for long-term development and investment in Hong Kong through the formulation, monitoring and revision of territorial planning policies and development strategies and the undertaking of planning studies for special areas."
118,1,2007,2014,The aim is to provide guidance and direction for long-term development and investment in Hong Kong through the formulation and revision of territorial planning policies and development strategies and the undertaking of planning studies including research with a cross-boundary dimension.
118,2,2006,2010,The aim is to provide a rational pattern of land use to promote and guide development in the different parts of the territory through the execution of various statutory and non-statutory town planning functions at the district level.
118,2,2007,2014,The aim is to provide a rational pattern of land use to promote and guide development in different parts of the territory through the execution of various statutory and non-statutory town planning functions at the district level.
118,3,2006,2006,The aim is to keep the TPO under review and initiate amendments to achieve a more open and efficient planning system and better development control in keeping with changing needs and circumstances.
118,3,2007,2010,"The aim is to keep the TPO and related legislation under review, and achieve a more open and efficient planning system and better development control in keeping with changing needs and circumstances."
118,3,2011,2014,The aim is to enhance public awareness of planning matters and to facilitate dissemination of planning information to the public.
118,4,2006,2010,The aim is to enhance public awareness of planning matters and to facilitate dissemination of planning information to the public.
118,4,2011,2014,"The aim is to provide technical services and training opportunities to staff in various sections of the Department, with a view to enhancing the quality of planning work."
118,5,2006,2010,"The aim is to provide technical services and training opportunities to staff in various sections of the Department, with a view to enhancing the quality of planning work."
120,1,2006,2014,The aim is to make provision for the payment of public and judicial service pension benefits.
120,2,2006,2014,The aim is to make provision for the payment of war memorial pensions and volunteer pensions.
121,1,2006,2008,"The aim of the Secretariat of the Independent Police Complaints Council (IPCC) is to assist the Council to ensure that investigations by the Complaints Against Police Office (CAPO) of the Hong Kong Police Force are carried out in a thorough, impartial and efficient manner."
121,1,2009,2011,"The aim of the Independent Police Complaints Council (IPCC) is to ensure that investigations of reportable complaints by the Complaints Against Police Office (CAPO) of the Hong Kong Police Force are carried out in a thorough, impartial and efficient manner."
121,1,2012,2014,"The aim of the Independent Police Complaints Council (IPCC) is to ensure that investigations of reportable complaints by the Complaints Against Police Office (CAPO) of the Hong Kong Police Force (HKPF) are carried out in a thorough, impartial and efficient manner."
122,1,2006,2009,The aim is to maintain law and order through the deployment of efficient and well-equipped uniformed police personnel throughout the land regions.
122,1,2010,2014,The aim is to maintain law and order through the deployment of efficient and well-equipped uniformed police personnel throughout the land and waters of Hong Kong.
122,2,2006,2014,The aim is to prevent and detect crime.
122,3,2006,2007,The aim is to maximise efforts to enhance road safety by reducing traffic accidents and maintaining a smooth traffic flow in Hong Kong.
122,3,2008,2010,The aim is to maximise efforts to enhance road safety by reducing traffic accidents and maintaining a smooth and safe traffic flow in Hong Kong.
122,3,2011,2014,The aim is to enhance road safety by reducing traffic accidents and maintaining a smooth and safe traffic flow in Hong Kong.
122,4,2006,2010,"The aim is to: • prevent and detect illegal immigration and smuggling; • prepare, revise and test contingency plans to ensure readiness to deal with illegal immigration, major disasters, civil disturbances and acts of terrorism; • maintain internal security of the territory; • provide specialist reinforcement to other programmes; and • manage major security and crowd management events."
122,4,2011,2012,"The aims are to: • prevent and detect illegal immigration and smuggling; • prepare, revise and test contingency plans to ensure readiness to deal with illegal immigration, major disasters, civil disturbances and acts of terrorism; • maintain internal security of the territory; • provide specialist reinforcement to other programmes; and • manage major security and crowd management events."
122,4,2013,2014,"The aims are to: •   prevent and detect illegal immigration and smuggling; •   prepare, revise and test contingency plans to ensure readiness to deal with illegal immigration, major disasters, civil disturbances and acts of terrorism; •   maintain internal security of the territory; •   provide specialist reinforcement to other programmes; and •   manage major security and crowd management events."
136,1,2006,2010,"The aim is to ensure that matters relating to appointments and promotions in the middle and senior ranks of the civil service, and discipline for virtually all ranks are processed in a proper and equitable manner and to advise the Chief Executive on the recommendations received from the Administration."
136,1,2011,2013,"The aim of the Public Service Commission Secretariat (the Secretariat) is to provide support to the Public Service Commission (the Commission) in discharging its responsibility to ensure that matters relating to appointments and promotions in the middle and senior ranks of the civil service, and discipline for virtually all ranks are processed in a proper and equitable manner, and to advise the Chief Executive on the recommendations received from the Administration."
136,1,2014,2014,"The Public Service Commission Secretariat (the Secretariat) supports the Public Service Commission (the Commission) in discharging its responsibility to ensure that matters relating to appointments and promotions in the middle and senior ranks of the civil service, and discipline for virtually all ranks are processed in a proper and equitable manner, and to advise the Chief Executive on the recommendations received from the Administration."
137,1,2008,2014,The aim is to ensure the smooth operation of the Office of the Secretary for the Environment.
137,2,2008,2008,"The aims are to ensure reliable and efficient energy supply at reasonable prices through the established monitoring arrangements of the operation of the two power companies and the towngas supply company; to enhance electrical and gas safety through the introduction and enforcement of safety standards; and to raise public awareness of and achieve energy efficiency and conservation through education, promotion, and implementation of various programmes."
137,2,2009,2009,"The aims are to ensure reliable and efficient energy supply at reasonable prices through the established monitoring arrangements of the operation of the two power companies and the towngas supply company; to enhance electrical and gas safety through the introduction and enforcement of safety standards; to promote competition and transparency in the local fuel market; and to raise public awareness of and achieve energy efficiency and conservation through education, promotion, and implementation of various programmes."
137,2,2010,2010,"The aims are to ensure reliable and efficient energy supply at reasonable prices through the established monitoring arrangements of the operation of the two power companies and the towngas supply company; to enhance electrical and gas safety through the introduction and enforcement of safety standards; to promote competition and transparency in the local fuel market; to raise public awareness of and achieve energy efficiency and conservation through education, promotion, and implementation of various programmes; and to promote the use of electric vehicles in Hong Kong."
137,2,2011,2011,"The aims are to ensure reliable and efficient energy supply at reasonable prices while minimising the environmental impact caused by the production and use of energy through the established monitoring arrangements for the operation of the two power companies and the towngas supply company; to enhance electrical and gas safety through the introduction and enforcement of safety standards; to promote competition and transparency in the local fuel market; to raise public awareness of and achieve energy efficiency and conservation through education, promotion, and implementation of various programmes; and to promote the use of electric vehicles in Hong Kong."
137,2,2012,2013,"The aims are to ensure safe, reliable and efficient energy supply at reasonable prices while minimising the environmental impact caused by the production and use of energy through the established monitoring arrangements for the operation of the two power companies and the towngas supply company; to enhance electrical and gas safety through the introduction and enforcement of safety standards; to promote competition and transparency in the local fuel market; to raise public awareness of and achieve energy efficiency and conservation through education, promotion, and implementation of various programmes; and to promote the use of electric vehicles in Hong Kong."
137,2,2014,2014,"The aims are to ensure safe, reliable and efficient energy supply at reasonable prices while minimising the environmental impact caused by the production and use of energy through the established monitoring arrangements for the operation of the two power companies and the towngas supply company; to enhance electrical and gas safety through the introduction and enforcement of safety standards; to promote competition and transparency in the local fuel market; and to raise public awareness of and achieve energy efficiency and conservation through education, promotion, and implementation of various programmes."
137,3,2008,2014,The aim is to promote sustainable development (SD) in Hong Kong.
138,1,2006,2007,"The aim is to ensure the smooth operation of the Office of the Secretary for Housing, Planning and Lands."
138,1,2008,2014,The aim is to ensure the smooth operation of the Office of the Secretary for Development.
138,2,2006,2006,"The aim is to facilitate Hong Kong’s continual development through a steady and sufficient supply of land, effective planning and use of land, efficient registration of land, promoting and ensuring building safety and timely maintenance, and facilitating urban renewal."
138,2,2007,2007,"The aim is to facilitate Hong Kong’s continual development through effective planning and use of land, a steady and sufficient supply of land, efficient registration of land, promoting and ensuring building safety and timely maintenance, and expediting urban renewal."
138,2,2008,2014,"The aim is to facilitate Hong Kong’s continual development through effective planning and use of land, a steady and sufficient supply of land, efficient registration of land, promoting and ensuring building safety and timely maintenance, and facilitating urban renewal."
138,3,2010,2011,The aim is to facilitate implementation of land development projects considered to be beneficial to Hong Kong by offering one-stop advisory and co-ordinating service.
138,3,2012,2012,The aim is to facilitate implementation of land development projects considered to be beneficial to Hong Kong by offering one-stop consultation and co-ordination service.
139,1,2007,2007,"The aim is to ensure the smooth operation of the Office of the Secretary for Health, Welfare and Food."
139,1,2008,2014,The aim is to ensure the smooth operation of the Office of the Secretary for Food and Health.
139,2,2007,2008,"The aim is to formulate and oversee implementation of policies to ensure that food available for human consumption is safe, to respond to food incidents effectively, to prevent the introduction and spread of zoonotic diseases and diseases in animals and plants, to facilitate the sustainable development of the agricultural and fisheries industries, and to oversee the efficient operation of government wholesale marketing facilities for fresh food produce."
139,2,2009,2010,"The aim is to formulate and oversee implementation of policies to ensure that food available for human consumption is safe, to respond to food incidents effectively, to prevent the introduction and spread of zoonotic diseases and diseases in animals and plants, to facilitate the sustainable development of the agricultural and fisheries industries, and to oversee efficient operation of government wholesale marketing facilities for fresh food produce."
139,2,2011,2014,"The aim is to formulate and oversee implementation of policies to ensure that food available for human consumption is safe, respond to food incidents effectively, prevent the introduction and spread of zoonotic diseases and diseases in animals and plants, facilitate the sustainable development of the agricultural and fisheries industries, and oversee efficient operation of government wholesale marketing facilities for fresh food produce."
139,3,2007,2010,"The aim is to provide quality environmental hygiene services in the territory, strengthen the management of public markets, minimise the risks and threats caused to public health by pest and other nuisances, enhance the effectiveness of regulatory control over food premises, and promote public involvement in the upkeep of personal and environmental hygiene standards."
139,3,2011,2011,"The aim is to provide quality environmental hygiene services in the territory, strengthen the management of public markets, minimise the risks and threats caused to public health by pest and other nuisances, increase the supply of columbarium and crematorium facilities and enhance regulation of private columbaria, enhance the effectiveness of regulatory control over food premises, and promote public involvement in the upkeep of personal and environmental hygiene standards."
139,3,2012,2014,"The aim is to provide quality environmental hygiene services in the territory, strengthen the management of public markets, minimise the risks and threats caused to public health by pest and other nuisances, increase the supply of columbarium and crematorium facilities and enhance the regulation of private columbaria, enhance the effectiveness of regulatory control over food premises, and promote public involvement in the upkeep of personal and environmental hygiene standards."
140,1,2007,2007,The aim is to provide an environment which enables everyone to reach his or her full potential thereby achieving self-reliance and contributing to the well-being of the community and to ensure that appropriate welfare support is available to assist those in need.
140,1,2008,2014,"The aim is to formulate and oversee implementation of policies to protect and promote public health, to provide comprehensive and lifelong holistic health care to each citizen, and to ensure that no one is prevented, through lack of means, from obtaining adequate medical treatment."
140,2,2007,2007,"The aim is to formulate and oversee implementation of policies to protect and promote public health, to provide comprehensive and lifelong holistic health care to each citizen, and to ensure that no one is prevented, through lack of means, from obtaining adequate medical treatment."
140,2,2008,2011,"The main aims of the Hospital Authority are to advise Government on the needs of the public for hospital services and resources required to meet those needs, and to provide adequate, efficient and effective public hospital services of the highest standard recognised internationally within the resources available."
140,2,2012,2014,"The main aims of the Hospital Authority are to advise the Government on the needs of the public for hospital services and resources required to meet those needs, and to provide adequate, efficient and effective public hospital services of the highest standard recognised internationally within the resources available."
140,3,2007,2007,"The aim is to promote the well-being and interests of women in Hong Kong, and to support the Women’s Commission’s mission to enable women to fully realise their due status, rights and opportunities in all aspects of life."
140,3,2008,2014,The aim is to provide facilities for the training of dentists and dental ancillary personnel.
140,4,2007,2007,The aim is to provide vocational training to people with disabilities aged 15 and above for the purpose of improving their employment prospects and preparing them for open employment.
140,5,2007,2007,"The aim is to support the operation of the Guardianship Board for mentally disordered and mentally handicapped persons under the Mental Health Ordinance, and to provide specialist information and advice on ways to improve access facilities to meet the special needs of people with disabilities through the Environmental Advisory Service."
140,6,2007,2007,"The main aims of the Hospital Authority are to advise Government on the needs of the public for hospital services and resources required to meet those needs, and to provide adequate, efficient and effective public hospital services of the highest standard recognised internationally within the resources available."
140,7,2007,2007,The aim is to provide facilities for the training of dentists and dental ancillary personnel.
141,1,2008,2014,The aim is to ensure the smooth operation of the Office of the Secretary for Labour and Welfare.
141,2,2008,2014,"The aim is to provide an environment which enables everyone to reach his or her full potential, thereby achieving self-reliance and contributing to the well-being of the community, and to ensure that appropriate welfare support is available to assist those in need."
141,3,2008,2014,"The aim is to promote the well-being and interests of women in Hong Kong, and to support the Women’s Commission’s mission to enable women to fully realise their due status, rights and opportunities in all aspects of life."
141,4,2008,2013,The aim is to develop a well-trained and adaptable workforce to meet the changing manpower demands of the economy and to contribute to the overall competitiveness of Hong Kong.
141,4,2014,2014,The aim is to develop a well-trained and adaptable workforce to meet the changing manpower demands of the economy and contribute to the overall competitiveness of Hong Kong.
141,5,2008,2010,The aim is to provide vocational training to PWDs aged 15 or above for the purpose of improving their employment prospects and preparing them for open employment.
141,5,2011,2014,The aim is to provide vocational training to persons with disabilities aged 15 or above for the purpose of improving their employment prospects and preparing them for open employment.
141,6,2008,2010,"The aim is to support the operation of the Guardianship Board for mentally disordered and mentally handicapped persons under the Mental Health Ordinance, and to provide specialist information and advice on ways to improve access facilities to meet the special needs of PWDs through the Environmental Advisory Service."
141,6,2011,2014,"The aim is to support the operation of the Guardianship Board for mentally incapacitated persons under the Mental Health Ordinance (Cap. 136), and to provide specialist information and advice on ways to improve access facilities to meet the special needs of persons with disabilities through the Environmental Advisory Service."
141,7,2008,2013,"The aim is to provide vocational training, through subvention to the VTC, to meet the manpower needs of industries, enhance the quality of the workforce in Hong Kong and help employees adjust to market changes."
141,7,2014,2014,"The aim is to provide vocational training through subvention to the VTC for meeting the manpower needs of industries, enhancing the quality of the workforce in Hong Kong and helping employees adjust to market changes."
142,1,2006,2009,The aim of the Efficiency Unit is to be the preferred consulting partner for all government bureaux and departments and to advance the delivery of world-class public services to the people.
142,1,2010,2013,The aim of the Efficiency Unit is to help identify and implement measures that increase the public value and effectiveness of public services.
142,1,2014,2014,The aim of the Efficiency Unit is to help identify and implement measures that increase the public value and effectiveness of public services and government initiatives.
142,2,2006,2014,The aim of the Government Records Service is to administer government records efficiently by formulating and implementing policies and plans for records management and archives administration.
142,3,2006,2006,"The Administration Wing seeks to ensure that policies and services within the purview of the Chief Secretary for Administration’s Office and the Financial Secretary’s Office are delivered effectively, maintain effective communication between the Administration and the Legislature, and ensure that the legislative programme is taken forward in an orderly manner and that government business in the Legislature is conducted efficiently."
142,3,2007,2007,"The Administration Wing seeks to ensure that policies and services within the purview of the Chief Secretary for Administration’s Office and the Financial Secretary’s Office are delivered effectively, facilitate the smooth and efficient conduct of government business in the Legislature, co-ordinate legal aid policy matters and liaise with the Judiciary, the Independent Commission Against Corruption and the Office of The Ombudsman on matters that require input from the Administration."
142,3,2008,2014,"The Administration Wing seeks to ensure that policies and services within the purview of the Chief Secretary for Administration’s Office and the Financial Secretary’s Office are delivered effectively; facilitates the smooth and efficient conduct of government business in the Legislature; and liaises with the Judiciary, the Independent Commission Against Corruption and the Office of The Ombudsman on matters that require input from the Administration."
142,4,2006,2014,The aim of the Protocol Division is to maintain an efficient protocol service for the Government.
142,5,2006,2006,The aims are to enable the Duty Lawyer Service to implement legal assistance schemes to complement the legal aid services provided by the Legal Aid Department (LAD) and to enable the Legal Aid Services Council to carry out its statutory duties of overseeing the provision of legal aid services by the LAD and advising the Chief Executive on legal aid policy.
142,5,2007,2007,"The aims are to enable the DLS to implement legal assistance schemes to complement the legal aid services provided by the LAD, and to enable the Legal Aid Services Council (LASC) to carry out its statutory duties of overseeing the provision of legal aid services by the LAD and advising the Chief Executive on legal aid policy."
142,6,2006,2006,
143,1,2006,2014,The aim is to ensure the smooth operation of the Office of the Secretary for the Civil Service.
143,2,2006,2014,"The aim is to foster a dynamic, visionary and knowledge-based civil service which delivers quality service to the community through a clean, trustworthy and fulfilled work-force."
143,3,2006,2006,"The aim is to ensure the efficient and effective provision of translation and interpretation services to government bureaux and departments, and to develop a civil service which is able to communicate effectively in both written Chinese and English, and generally conversant in Cantonese, Putonghua and spoken English, in support of the Government’s official languages policy."
143,3,2007,2009,"The aim is to ensure the efficient and effective provision of translation and interpretation services to bureaux/departments, and to foster the capability of the civil service to communicate effectively in both written Chinese and English and in Cantonese, Putonghua and spoken English, in support of the Government’s official languages policy."
143,3,2010,2012,"The aim is to support the Government’s official languages policy by ensuring the efficient and effective provision of translation and interpretation services to bureaux/departments, and by enhancing the capability of the civil service to communicate effectively in both written Chinese and English and in Cantonese, Putonghua and spoken English."
143,3,2013,2014,"The aim is to support the Government’s official languages policy by ensuring the efficient and effective provision of translation and interpretation services to bureaux and departments, and by enhancing the capability of the civil service to communicate effectively in both written Chinese and English and in Cantonese, Putonghua and spoken English."
143,4,2006,2006,"The aim is to formulate training policies and to render support to bureaux/departments in training matters so that civil servants will be equipped with the necessary knowledge, skills and abilities to maintain an efficient and responsive government."
143,4,2007,2012,"The aim is to formulate training policies and to render support to bureaux/departments in training matters so that civil servants will be equipped with the necessary knowledge, skills and abilities to serve the community."
143,4,2013,2014,"The aim is to formulate training policies and to render support to bureaux and departments in training matters so that civil servants will be equipped with the necessary knowledge, skills and abilities to serve the community."
144,1,2006,2007,The aim is to ensure the smooth operation of the Office of the Secretary for Constitutional Affairs.
144,1,2008,2014,The aim is to ensure the smooth operation of the Office of the Secretary for Constitutional and Mainland Affairs.
144,2,2006,2006,"The aims are to maintain community confidence in the full and faithful implementation of the Basic Law; to facilitate the implementation of the “One Country, Two Systems” principle and demonstrate its success; to further cultivate and strengthen our cordial and constructive working relationship with the Central People’s Government (CPG), other Mainland authorities and the Government of the Macao Special Administrative Region (MSAR) in accordance with the principle of “One Country, Two Systems”; to facilitate the conduct of Hong Kong Special Administrative Region (HKSAR)’s external affairs; to co-ordinate liaison with Taiwan organisations in the HKSAR; to enhance community confidence in electoral arrangements and participation in the electoral process; to ensure that the electoral arrangements are open, fair, honest, acceptable to the community and in compliance with the Basic Law; and to address the issue of constitutional development after 2007."
144,2,2007,2007,"The aims are to maintain community confidence in the full and faithful implementation of the Basic Law; to facilitate the implementation of the “One Country, Two Systems” principle and demonstrate its success; to further cultivate and strengthen our cordial and constructive working relationship with the Central People’s Government (CPG), other Mainland authorities and the Government of the Macao Special Administrative Region (MSAR) in accordance with the principle of “One Country, Two Systems”; to facilitate the conduct of the Hong Kong Special Administrative Region (HKSAR)’s external affairs; to co-ordinate liaison with Taiwan organisations in the HKSAR; to enhance community confidence in electoral arrangements and participation in the electoral process; to ensure that the electoral arrangements are open, fair, honest, acceptable to the community and in compliance with the Basic Law; and to address the issue of constitutional development after 2007."
144,2,2008,2008,"The aims are to maintain community confidence in the full and faithful implementation of the Basic Law; to facilitate the implementation of the “One Country, Two Systems” principle and demonstrate its success; to further cultivate and strengthen our cordial and constructive working relationship with the Central People’s Government (CPG), other Mainland authorities and the Government of the Macao Special Administrative Region (MSAR) in accordance with the principle of “One Country, Two Systems”; to facilitate the conduct of Hong Kong Special Administrative Region (HKSAR)’s external affairs; to co-ordinate liaison with Taiwan organisations in the HKSAR; to enhance community confidence in electoral arrangements and participation in the electoral process; to ensure that the electoral arrangements are open, fair, honest, acceptable to the community and in compliance with the Basic Law; and to continue to take forward Hong Kong’s constitutional development."
144,2,2009,2009,"The aims are to maintain community confidence in the full and faithful implementation of the Basic Law; to facilitate the implementation of the “One Country, Two Systems” principle and demonstrate its success; to further cultivate and strengthen our cordial and constructive working relationship with the Central People’s Government (CPG), other Mainland authorities and the Government of the Macao Special Administrative Region (MSAR) in accordance with the principle of “One Country, Two Systems”; to facilitate the conduct of Hong Kong Special Administrative Region (HKSAR)’s external affairs; to co-ordinate exchanges and co-operation with Taiwan, including liaison with Taiwan organisations in the HKSAR; to enhance community confidence in electoral arrangements and participation in the electoral process; to ensure that the electoral arrangements are open, fair, honest, acceptable to the community and in compliance with the Basic Law; and to continue to take forward Hong Kong’s constitutional development."
